Matrix,v1Code,V2 Code,Analyte,Analyte Code,Common Method Name,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement Method,Observation Category,Reporting Unit,Acceptance,Status,Citation Organization,Citation,Citation Link,Row Added Date,Row Changed Date,Change Comment,Notes
PLANT,,L_MODV2_PLANT_MN_004,manganese,MN,"Acid Wet Digestion, Open Vessel","HNO3, HClO4",Varies,m/m,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 6 Nitric-Perchloric Acid Wet Digestion in an Open Vessel; Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_MN_005,manganese,MN,Muffle Furnace Dry Ashing,HCl,Varies,m/m,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 5 High-Temperature Oxidation: Dry Ashing, Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy,and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_MN_006,manganese,MN,Energy Dispersive X-Ray Fluorescence (ED-XRF),,Direct,m/m,,ED-XRF Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_MN_007,manganese,MN,Laser Induced Breakdown Spectroscopy (LIBS),,Direct,m/m,,LIBS Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,
PLANT,B-HG.10.04,L_MODV2_PLANT_HG_001,mercury,HG,"Thermal Decomposition, Amalgamation",,Varies,m/m,,AAS,MEASURED,%,OFFICIAL,VALID,US-EPA,"U.S. EPA. Method  7473 Mercury in Solids and Solutions by Thermal Decomposition, Amalgamation, and Atomic Absorption Spectrophotometry.",https://www.epa.gov/sites/default/files/2015-07/documents/epa-7473.pdf,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_HG_002,mercury,HG,Cold Vapor,"Aqua regia, H2SO4, KMnO4",Varies,m/m,,HG-AAS,MEASURED,%,OFFICIAL,VALID,US-EPA,U.S. EPA. Method  7471B. Mercury in Solid or Semisolid Wastes (Manual Cold-Vapor Technique).,https://www.epa.gov/esam/epa-method-7471b-sw-846-mercury-solid-or-semisolid-wastes-manual-cold-vapor-technique,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_HG_003,mercury,HG,"Acid Wet Digestion, Open Vessel w/ Hydride Generation","HNO3, H2SO4, V2O5",Varies,m/m,,HG-AAS,MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 23. Determination of Arsenic and Mercury in Plant Tissue . Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_GWC_001,moisture content,GWC,Oven Drying,105 C,Direct,,2 hrs,Gravimetric,CALCULATED,%,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2013, WERA-103. Method B-1.10. Determination of Dry Matter Content of Botanical Materials.",,2026-04-02T12:00:00Z,,,In practice most labs heat to 65-80 C
PLANT,B-MO.05.04,L_MODV2_PLANT_MO_001,molybdenum,MO,wet ash,,Varies,m/m,,ICP-OES,MEASURED,mg/kg,OFFICIAL,RETIRED,US-EPA,"U.S. EPA. 1994. “Method 200.7: Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,” Revision 4.4. Cincinnati, OH",,2026-04-02T12:00:00Z,,,
PLANT,B-MO.02.04,L_MODV2_PLANT_MO_002,molybdenum,MO,"Acid Wet Digestion, Open Vessel","HNO3, H2O2",Varies,m/m,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2013, WERA-103. Method B-4.25. Phosphorus, Potassium, Sulfur, Calcium, Magnesium Sodium, Zinc, Manganese, Copper, Iron and Molybdenum of Botanical Materials",,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,UoM corrected from % to mg/kg per WERA B-4.25 Comment 8: Mo explicit trace metal → mg/kg,
PLANT,B-MO.10.04,L_MODV2_PLANT_MO_003,molybdenum,MO,"Microwave-Assisted Acid Digestion, Closed Vessel","HNO3, H2O2",Varies,m/m,,ICP-OES,MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 8. Microwave Digestion of Plant Tissue in a Closed Vessel and Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy. Taylor & Francis Group.",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,B-MO.11.04,L_MODV2_PLANT_MO_004,molybdenum,MO,"Acid Wet Digestion, Open Vessel","HNO3, HClO4",,,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 6 Nitric-Perchloric Acid Wet Digestion in an Open Vessel; Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,UoM corrected to mg/kg per Kalra 1998 Ch.6 trace element calculation formula,
